mapName,scenFile,agentNum,seed,shieldType,lacamLookahead,modelPath,useGPU,maxSteps,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime,create_nn_data,forward_pass,cs-time
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,100,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,18118,17904,100,2.2053117752075195,0.5239665508270264,1.055140733718872,0.39116501808166504
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,200,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,36138,35794,200,3.3336126804351807,1.2305357456207275,1.0373167991638184,0.775702953338623
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,300,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,60004,54939,300,5.7641825675964355,3.047567844390869,1.0779552459716797,1.2675390243530273
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,400,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,83071,75171,400,8.864800691604614,5.423365831375122,1.211125135421753,1.749403715133667
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,500,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,107405,96376,500,13.331644773483276,9.103297710418701,1.28212308883667,2.3576157093048096
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,600,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,131274,116610,600,16.095263481140137,11.351364374160767,1.275048017501831,2.8100533485412598
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,700,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,154928,136292,700,20.537819147109985,15.147161722183228,1.2958455085754395,3.336332321166992
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,800,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,178671,155107,800,24.11333990097046,18.134521484375,1.2837879657745361,3.8626980781555176
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,900,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,200860,174874,900,27.342878580093384,21.006628274917603,1.3136842250823975,4.123478651046753
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,1000,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,227995,195981,1000,33.48104453086853,26.43291735649109,1.3090505599975586,4.761633396148682
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,100,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,17814,17577,100,2.1088147163391113,0.4964621067047119,1.0209100246429443,0.37059640884399414
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,200,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,39746,38806,200,3.358201265335083,1.265209674835205,1.00362229347229,0.7899372577667236
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,300,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,63931,59040,300,5.6038734912872314,2.8333899974823,1.1003258228302002,1.282637357711792
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,400,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,86423,79129,400,9.564359664916992,5.9141035079956055,1.2493844032287598,1.8812344074249268
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,500,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,110563,99223,500,13.414124727249146,9.119380950927734,1.3144071102142334,2.3796017169952393
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,600,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,132340,118025,600,16.121013879776,11.31490707397461,1.279231309890747,2.850159168243408
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,700,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,155431,137567,700,20.114554166793823,14.774157285690308,1.280407428741455,3.3135275840759277
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,800,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,181809,159529,800,24.889223098754883,18.73351001739502,1.331275463104248,3.9678306579589844
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,900,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,206585,179480,900,29.11032247543335,22.414409399032593,1.3483541011810303,4.408093690872192
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,1000,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,231044,198857,1000,34.2599720954895,26.991609573364258,1.3150088787078857,4.960219144821167
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,100,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,19052,19052,100,2.0408437252044678,0.4696989059448242,1.0068473815917969,0.3539755344390869
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,200,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,39241,38539,200,3.6962971687316895,1.387768268585205,1.1099731922149658,0.8709356784820557
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,300,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,63484,58227,300,5.955639362335205,2.982398748397827,1.2279269695281982,1.3341937065124512
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,400,0,CS-PIBT,0,data/model/ssil_model.pt,True,3x,True,85761,78446,400,9.431536197662354,5.8093836307525635,1.3092312812805176,1.8097574710845947
