mapName,scenFile,agentNum,seed,shieldType,lacamLookahead,modelPath,useGPU,maxSteps,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime,create_nn_data,forward_pass,cs-time
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,100,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,21346,21040,100,11.176490545272827,0.6310856342315674,9.526355504989624,0.4597585201263428
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,200,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,43771,42195,200,12.29952073097229,1.4323043823242188,9.365358114242554,0.8865902423858643
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,300,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,70088,64576,300,14.313979148864746,2.3558199405670166,9.85019326210022,1.367948055267334
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,400,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,97152,88485,400,20.556205987930298,6.749819755554199,10.682851314544678,2.144373893737793
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,500,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,127160,113565,500,26.03170132637024,9.993903398513794,11.20103645324707,2.7059731483459473
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,600,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,155339,138331,600,30.78291344642639,13.18352460861206,11.383703231811523,3.370438575744629
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,700,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,181839,161003,700,39.59544610977173,17.815813541412354,11.801700592041016,3.95935320854187
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,800,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,208242,184346,800,44.28201460838318,21.17497682571411,12.179389476776123,4.603766441345215
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,900,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,243198,210267,900,51.039886236190796,25.77152132987976,11.828550338745117,5.00373649597168
Paris_1_256,data/scen-random/Paris_1_256-random-1.scen,1000,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,271563,233251,1000,57.3122832775116,29.621883153915405,11.209648370742798,5.324288845062256
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,100,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,21157,20610,100,10.05866003036499,0.5508108139038086,8.601669549942017,0.41989946365356445
Paris_1_256,data/scen-random/Paris_1_256-random-10.scen,200,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,48252,46052,200,12.781867742538452,1.4718024730682373,9.745218753814697,0.9323561191558838
